id,Rank,Major,Total,Men,Women,Major_category,ShareWomen,Employed,Unemployed,Unemployment_rate,Median
1,1,"""Petroleum Engineering""",2339,2057,282,"""Engineering""",0.120564344,1976,37,0.018380527,110000
2,2,"""Mining And Mineral Engineering""",756,679,77,"""Engineering""",0.101851852,640,85,0.117241379,75000
3,3,"""Metallurgical Engineering""",856,725,131,"""Engineering""",0.153037383,648,16,0.024096386,73000
4,4,"""Naval Architecture And Marine Engineering""",1258,1123,135,"""Engineering""",0.107313196,758,40,0.050125313,70000
5,5,"""Chemical Engineering""",32260,21239,11021,"""Engineering""",0.341630502,25694,1672,0.061097712,65000
6,6,"""Nuclear Engineering""",2573,2200,373,"""Engineering""",0.144966965,1857,400,0.177226407,65000
7,7,"""Actuarial Science""",3777,2110,1667,"""Business""",0.441355573,2912,308,0.095652174,62000
8,8,"""Astronomy And Astrophysics""",1792,832,960,"""Physical Sciences""",0.535714286,1526,33,0.021167415,62000
9,9,"""Mechanical Engineering""",91227,80320,10907,"""Engineering""",0.119558903,76442,4650,0.057342278,60000
10,10,"""Electrical Engineering""",81527,65511,16016,"""Engineering""",0.196450256,61928,3895,0.059173845,60000
11,11,"""Computer Engineering""",41542,33258,8284,"""Engineering""",0.199412643,32506,2275,0.065409275,60000
12,12,"""Aerospace Engineering""",15058,12953,2105,"""Engineering""",0.139792801,11391,794,0.065162085,60000
13,13,"""Biomedical Engineering""",14955,8407,6548,"""Engineering""",0.437846874,10047,1019,0.09208386,60000
14,14,"""Materials Science""",4279,2949,1330,"""Engineering""",0.310820285,3307,78,0.023042836,60000
15,15,"""Engineering Mechanics Physics And Science""",4321,3526,795,"""Engineering""",0.183985189,3608,23,0.006334343,58000
16,16,"""Biological Engineering""",8925,6062,2863,"""Engineering""",0.320784314,6170,589,0.087143069,57100
17,17,"""Industrial And Manufacturing Engineering""",18968,12453,6515,"""Engineering""",0.343473218,15604,699,0.042875544,57000
18,18,"""General Engineering""",61152,45683,15469,"""Engineering""",0.252959838,44931,2859,0.059824231,56000
19,19,"""Architectural Engineering""",2825,1835,990,"""Engineering""",0.350442478,2575,170,0.061930783,54000
20,20,"""Court Reporting""",1148,877,271,"""Law & Public Policy""",0.236062718,930,11,0.011689692,54000
21,21,"""Computer Science""",128319,99743,28576,"""Computers & Mathematics""",0.222695002,102087,6884,0.063172771,53000
22,23,"""Electrical Engineering Technology""",11565,8181,3384,"""Engineering""",0.292607004,8587,824,0.087557114,52000
23,24,"""Materials Engineering And Materials Science""",2993,2020,973,"""Engineering""",0.325091881,2449,70,0.027788805,52000
24,25,"""Management Information Systems And Statistics""",18713,13496,5217,"""Business""",0.278790146,16413,1015,0.058239614,51000
25,26,"""Civil Engineering""",53153,41081,12072,"""Engineering""",0.227117943,43041,3270,0.070609574,50000
26,27,"""Construction Services""",18498,16820,1678,"""Industrial Arts & Consumer Services""",0.090712509,16318,1042,0.060023041,50000
27,28,"""Operations Logistics And E-Commerce""",11732,7921,3811,"""Business""",0.32483805,10027,504,0.047858703,50000
28,29,"""Miscellaneous Engineering""",9133,7398,1735,"""Engineering""",0.189970437,7428,597,0.074392523,50000
29,30,"""Public Policy""",5978,2639,3339,"""Law & Public Policy""",0.558548009,4547,670,0.128426299,50000
30,31,"""Environmental Engineering""",4047,2662,1385,"""Engineering""",0.342228811,2983,308,0.093588575,50000
31,32,"""Engineering Technologies""",3600,2695,905,"""Engineering""",0.251388889,2799,163,0.055030385,50000
32,33,"""Miscellaneous Fine Arts""",3340,1970,1370,"""Arts""",0.410179641,2914,286,0.089375,50000
33,34,"""Geological And Geophysical Engineering""",720,488,232,"""Engineering""",0.322222222,604,49,0.075038285,50000
34,35,"""Nursing""",209394,21773,187621,"""Health""",0.896018988,180903,8497,0.044862724,48000
35,36,"""Finance""",174506,115030,59476,"""Business""",0.340824957,145696,9413,0.060686356,47000
36,37,"""Economics""",139247,89749,49498,"""Social Science""",0.355469059,104117,11452,0.099092317,47000
37,38,"""Business Economics""",13302,7575,5727,"""Business""",0.430536761,10914,1165,0.096448381,46000
38,39,"""Industrial Production Technologies""",4631,3477,1154,"""Engineering""",0.24919024,4428,129,0.028308097,46000
39,40,"""Nuclear, Industrial Radiology, And Biological Technologies""",2116,528,1588,"""Physical Sciences""",0.75047259,1778,137,0.07154047,46000
40,41,"""Accounting""",198633,94519,104114,"""Business""",0.524152583,165527,12411,0.069749014,45000
41,42,"""Mathematics""",72397,39956,32441,"""Computers & Mathematics""",0.448098678,58118,2884,0.047277138,45000
42,43,"""Computer And Information Systems""",36698,27392,9306,"""Computers & Mathematics""",0.253583302,28459,2934,0.093460326,45000
43,44,"""Physics""",32142,23080,9062,"""Physical Sciences""",0.281936407,25302,1282,0.048224496,45000
44,45,"""Medical Technologies Technicians""",15914,3916,11998,"""Health""",0.75392736,13150,505,0.03698279,45000
45,46,"""Information Sciences""",11913,9005,2908,"""Computers & Mathematics""",0.244103081,9881,639,0.060741445,45000
46,47,"""Statistics And Decision Science""",6251,2960,3291,"""Computers & Mathematics""",0.526475764,4247,401,0.086273666,45000
47,48,"""Applied Mathematics""",4939,2794,2145,"""Computers & Mathematics""",0.434298441,3854,385,0.090823307,45000
48,49,"""Pharmacology""",1762,515,1247,"""Biology & Life Science""",0.707718502,1144,107,0.085531575,45000
49,50,"""Oceanography""",2418,752,1666,"""Physical Sciences""",0.688999173,1638,99,0.056994819,44700
50,51,"""Engineering And Industrial Management""",2906,2400,506,"""Engineering""",0.174122505,2125,74,0.03365166,44000
51,52,"""Medical Assisting Services""",11123,803,10320,"""Health""",0.927807246,9168,407,0.042506527,42000
52,53,"""Mathematics And Computer Science""",609,500,109,"""Computers & Mathematics""",0.178981938,559,0,0.0,42000
53,54,"""Computer Programming And Data Processing""",4168,3046,1122,"""Computers & Mathematics""",0.269193858,3257,419,0.11398259,41300
54,55,"""Cognitive Science And Biopsychology""",3831,1667,2164,"""Biology & Life Science""",0.56486557,2741,223,0.075236167,41000
55,56,"""School Student Counseling""",818,119,699,"""Education""",0.854523227,730,88,0.107579462,41000
56,57,"""International Relations""",28187,10345,17842,"""Social Science""",0.632986838,21190,2271,0.096798943,40100
57,58,"""General Business""",234590,132238,102352,"""Business""",0.436301633,190183,14946,0.072861468,40000
58,59,"""Architecture""",46420,25463,20957,"""Engineering""",0.451464886,34158,4366,0.113331949,40000
59,60,"""International Business""",25894,10624,15270,"""Business""",0.589711902,19660,2092,0.096175064,40000
60,61,"""Pharmacy Pharmaceutical Sciences And Administration""",23551,8697,14854,"""Health""",0.630716318,16620,977,0.055520827,40000
61,62,"""Molecular Biology""",18300,7426,10874,"""Biology & Life Science""",0.59420765,11581,1067,0.084361164,40000
62,63,"""Miscellaneous Business & Medical Administration""",17947,10285,7662,"""Business""",0.42692372,14826,1150,0.071982974,40000
63,64,"""Agriculture Production And Management""",14240,9658,4582,"""Agriculture & Natural Resources""",0.321769663,12323,649,0.050030836,40000
64,65,"""General Agriculture""",10399,6053,4346,"""Agriculture & Natural Resources""",0.4179248,8884,178,0.019642463,40000
65,66,"""Miscellaneous Engineering Technologies""",8804,7043,1761,"""Engineering""",0.200022717,7502,416,0.05253852,40000
66,67,"""Mechanical Engineering Related Technologies""",4790,4419,371,"""Engineering""",0.077453027,4186,250,0.056357078,40000
67,68,"""Genetics""",3635,1761,1874,"""Biology & Life Science""",0.515543329,2463,87,0.034117647,40000
68,69,"""Miscellaneous Social Sciences""",3283,1499,1784,"""Social Science""",0.543405422,2727,215,0.073079538,40000
69,70,"""United States History""",3079,1756,1323,"""Humanities & Liberal Arts""",0.429684963,2787,138,0.047179487,40000
70,71,"""Industrial And Organizational Psychology""",3014,1075,1939,"""Psychology & Social Work""",0.643331121,2343,286,0.108786611,40000
71,72,"""Agricultural Economics""",2439,1749,690,"""Agriculture & Natural Resources""",0.282902829,2174,182,0.077249576,40000
72,73,"""Physical Sciences""",1436,894,542,"""Physical Sciences""",0.377437326,1146,42,0.035353535,40000
73,74,"""Military Technologies""",124,124,0,"""Industrial Arts & Consumer Services""",0,0,0,0.0,40000
74,75,"""Chemistry""",66530,32923,33607,"""Physical Sciences""",0.505140538,48535,2769,0.0539724,39000
75,76,"""Electrical, Mechanical, And Precision Technologies And Production""",2435,1869,566,"""Industrial Arts & Consumer Services""",0.232443532,2107,64,0.029479503,38400
76,77,"""Business Management And Administration""",329927,173809,156118,"""Business""",0.473189524,276234,21502,0.072218341,38000
